,nearest_dist_head2head,nearest_dist_head2bottom,nearest_dist_head2body,nearest_dist_bottom2head
data/img0315.png,298.6584722689113,89.38868971519832,146.0827162945705,924.6128470760073
data/img0316.png,304.80593683358614,86.04115025962896,147.15547152586612,924.9392949691347
data/img0317.png,316.6431954250715,700.2903639555524,175.35999999999996,924.4729532252418
data/img0318.png,282.2426987151306,50.911593267152746,252.60144100934988,925.205793323842
data/img0319.png,295.4011238976589,49.65237092022898,266.25230740784195,925.924334321655
data/img0320.png,inf,inf,inf,925.3455138487461
data/img0321.png,inf,inf,inf,922.1244395177908
data/img0322.png,inf,inf,inf,921.5484808131366
data/img0323.png,inf,inf,inf,919.3529224889645
data/img0324.png,inf,inf,inf,931.6201364171988
data/img0325.png,346.4496962042253,55.94481217235425,273.2282855049968,951.4604290715405
data/img0326.png,330.24801820601436,48.740947877529536,252.4035372176863,947.7022939958518
data/img0327.png,334.8392300925923,94.62603372222677,295.48322456613346,977.6446780119041
data/img0328.png,inf,141.82217347438993,321.72590570235417,inf
data/img0329.png,inf,77.96713153630861,268.13479595158833,inf
data/img0330.png,inf,42.83779183151287,227.24957205680295,inf
data/img0331.png,311.2928127808286,877.8847282063857,176.64463762027984,739.379845606438
data/img0332.png,318.3183412874602,913.4403222980688,135.13551124704412,595.7484859309337
data/img0333.png,364.49746919423194,921.733245846107,125.446530442257,491.1278591619499
data/img0334.png,323.713374453389,928.8012671061555,113.40828893868411,490.7480340144013
data/img0335.png,inf,928.1396811353343,112.1224473510988,inf
data/img0336.png,inf,920.5395429686874,112.21008867298899,inf
data/img0337.png,inf,922.0152709462029,111.21277624445821,inf
data/img0338.png,inf,925.5659062962508,109.69980856865682,inf
data/img0339.png,inf,926.8142020108453,109.0031045429439,inf
data/img0340.png,inf,932.9595413784031,108.92040396546408,inf
data/img0341.png,inf,931.1791732684961,108.92040396546435,inf
data/img0342.png,inf,926.2902871130626,111.71987826703032,inf
data/img0343.png,inf,927.6821524638706,109.28081990907641,inf
data/img0344.png,inf,927.3032418793757,108.27922423068995,inf
data/img0345.png,inf,952.4997679789743,87.04941125590703,inf
data/img0346.png,361.3189755576089,984.141075054283,56.450757302271555,586.6287796860975
data/img0347.png,359.6561017666738,976.0957759200683,69.16739116086443,604.879985158213
data/img0348.png,342.5652983140586,965.6462682462974,72.0561558785924,616.1207307378969
data/img0349.png,309.9194701999214,961.7842425086825,74.30617740134433,582.2831607465564
data/img0350.png,238.51502027754972,922.6727609819204,142.9307860469529,550.0610682869676
data/img0351.png,172.47110974885044,151.30459827116954,204.45571060745655,542.5032854794522
data/img0352.png,inf,inf,inf,inf
data/img0353.png,inf,inf,inf,inf
data/img0354.png,inf,inf,inf,inf
data/img0355.png,inf,inf,inf,inf
data/img0356.png,inf,inf,inf,inf
data/img0357.png,inf,inf,inf,inf
data/img0358.png,inf,213.54653846176012,261.0854879153568,inf
data/img0359.png,inf,238.52235219786,268.13479595158856,inf
data/img0360.png,inf,241.54644410133636,263.5992109244639,inf
data/img0361.png,inf,242.47585318542562,253.66616171653646,inf
data/img0362.png,inf,238.99186902068448,253.0162113383252,inf
data/img0363.png,inf,239.95715202719006,253.0162113383252,inf
data/img0364.png,inf,239.95715202719006,253.0162113383252,inf
data/img0365.png,inf,239.95715202719006,253.0162113383252,inf
data/img0366.png,inf,240.31358949922077,250.59902633490015,inf
data/img0367.png,inf,239.1197855845475,251.47032588359195,inf
data/img0368.png,inf,239.1197855845475,254.91289178854794,inf
data/img0369.png,inf,237.14119053635523,259.07908290713084,inf
data/img0370.png,151.65778271490055,248.44540876820403,274.6368190902304,672.5372240173774
data/img0371.png,144.99440847494765,273.86860369345,307.80207666615894,688.3057207055598
data/img0372.png,156.75725721318307,296.29735526663086,329.17907102366024,688.7858033126118
data/img0373.png,165.26164811594984,305.78960796272975,335.704250792271,692.0969894783534
data/img0374.png,250.79182123825333,305.78960796272975,335.704250792271,690.1860932951345
data/img0375.png,251.51686561540953,301.1929771060408,334.45496199040014,691.1405571148317
data/img0376.png,253.91092471376655,299.15254050233295,331.95708638316495,695.2696613868608
data/img0377.png,253.91092471376655,299.15254050233295,331.95708638316495,698.3050270161314
data/img0378.png,253.91092471376655,299.15254050233295,331.95708638316495,696.0536146655659
data/img0379.png,253.91092471376655,299.15254050233295,331.95708638316495,695.2887746670443
data/img0380.png,253.91092471376655,299.15254050233295,331.95708638316495,696.778534176391
data/img0381.png,259.9568689013622,293.038186059428,325.7166179365124,696.778534176391
data/img0382.png,inf,inf,inf,696.0328867072302
data/img0383.png,inf,inf,inf,698.2716309417132
data/img0384.png,inf,inf,inf,693.2255861153712
data/img0385.png,inf,inf,inf,697.8389499017663
data/img0386.png,inf,inf,inf,697.8389499017663
data/img0387.png,inf,inf,inf,697.8389499017663
data/img0388.png,inf,inf,inf,697.8389499017663
data/img0389.png,167.78403219019395,325.55448898456297,593.9984591377322,693.1864972718381
data/img0390.png,156.36282092940138,339.38205282247924,582.9343391575076,689.8235811828993
data/img0391.png,132.96707990326027,353.68046304256046,579.3081301155717,675.2467224489135
data/img0392.png,145.05139674611885,365.2907083652689,576.4880209145721,674.1838662501499
data/img0393.png,178.84135340854473,377.45528224943405,566.1187761044498,672.2574385196493
data/img0394.png,inf,inf,inf,675.0512232090243
data/img0395.png,inf,inf,inf,676.559481823291
data/img0396.png,inf,inf,inf,643.4561159519739
data/img0397.png,217.58682313044602,268.0294954254102,663.3718893185029,626.0642778501261
data/img0398.png,236.39490725901857,250.18353298728528,643.1480390843153,581.5280823640419
data/img0399.png,inf,inf,inf,501.4765391212236
data/img0400.png,inf,inf,inf,507.6091844017402
data/img0401.png,inf,inf,inf,528.1112057976047
data/img0402.png,inf,inf,inf,504.2184027670946
data/img0403.png,inf,inf,inf,509.8737949296864
data/img0404.png,inf,inf,inf,490.2608575493254
data/img0405.png,inf,inf,inf,458.171244066015
data/img0406.png,inf,inf,inf,471.97559258927777
data/img0407.png,inf,inf,inf,463.87780766598445
data/img0408.png,inf,inf,inf,379.7964245342495
data/img0409.png,inf,inf,inf,379.7470812119562
data/img0410.png,inf,inf,inf,411.2211313210933
