,nearest_dist_head2head,nearest_dist_head2bottom,nearest_dist_head2body,nearest_dist_bottom2head
data/img0351.png,172.47110974885044,246.68188565843258,340.07345219672754,865.6587003305633
data/img0352.png,inf,inf,inf,inf
data/img0353.png,inf,inf,inf,inf
data/img0354.png,inf,inf,inf,inf
data/img0355.png,inf,inf,inf,inf
data/img0356.png,inf,inf,inf,inf
data/img0357.png,inf,inf,inf,inf
data/img0358.png,inf,inf,inf,839.6712342869678
data/img0359.png,inf,inf,inf,844.6503484454381
data/img0360.png,inf,inf,inf,850.3289177777033
data/img0361.png,inf,inf,inf,861.6878732864934
data/img0362.png,inf,inf,inf,860.4809159121427
data/img0363.png,inf,inf,inf,860.4809159121427
data/img0364.png,inf,inf,inf,860.8370377824133
data/img0365.png,inf,inf,inf,860.8370377824133
data/img0366.png,inf,inf,inf,864.1069807020425
data/img0367.png,inf,inf,inf,861.3373129320476
data/img0368.png,inf,inf,inf,861.3373129320476
data/img0369.png,inf,inf,inf,863.3330410090882
data/img0370.png,292.8147109846088,494.93407201868814,504.96603890261764,858.5647915550696
data/img0371.png,292.95371350778265,529.2930073645409,530.8431364876068,838.6073636690772
data/img0372.png,238.92583939164047,509.16161485819026,519.4747903199924,824.7812374199598
data/img0373.png,249.8514040164674,526.935429145735,531.228878063872,821.0046952904714
data/img0374.png,250.79182123825333,526.9340802965775,531.228878063872,817.9202656060063
data/img0375.png,251.51686561540953,523.7336109979959,531.7722762404976,816.2071575825588
data/img0376.png,253.91092471376655,525.6097411578289,539.3793700995617,811.5251773407896
data/img0377.png,253.91092471376655,525.6097411578289,538.2772536323637,812.2674589622559
data/img0378.png,253.91092471376655,525.6097411578289,538.2772536323637,812.2674589622559
data/img0379.png,253.91092471376655,525.6097411578289,538.2772536323637,812.2674589622559
data/img0380.png,253.91092471376655,525.6097411578289,538.2772536323637,812.2674589622559
data/img0381.png,259.9568689013622,525.6097411578289,538.2772536323637,813.9952585175174
data/img0382.png,inf,524.5427609728305,538.2772536323637,inf
data/img0383.png,inf,524.5427609728305,538.2772536323637,inf
data/img0384.png,388.39193423396426,524.6891537748804,547.1052119007824,969.1887866551078
data/img0385.png,293.28810560436983,596.2406549188004,547.5764786767232,920.8944656631401
data/img0386.png,250.31323985159077,641.3067703439594,542.7504996672043,900.342544195819
data/img0387.png,208.4809823461123,622.4168693801607,542.7504996672043,871.1055873750324
data/img0388.png,180.8533642982624,615.2491483041646,542.7504996672043,831.4039433259865
data/img0389.png,149.0706505151165,613.264605279809,542.7504996672043,796.7653075893804
data/img0390.png,135.69141461418997,609.657586227712,540.407632975331,781.2075402721098
data/img0391.png,139.41133382906852,611.3256415364891,521.8251090595393,773.4591952753551
data/img0392.png,124.63578940256286,610.969346821917,505.8512315345294,780.4072436593601
data/img0393.png,124.05046428369384,613.2823167188176,506.8648735116687,781.0975030673187
data/img0394.png,140.69086679667586,613.2823167188176,507.90187328754746,828.9345356275126
data/img0395.png,125.97938738142835,610.2610588920121,510.35947766745755,787.4178271343619
data/img0396.png,134.09941519633858,608.3934773557323,517.5391703909957,756.9110494054107
data/img0397.png,114.88328067216747,597.2009377085739,512.8200871436297,729.152668909605
data/img0398.png,inf,inf,inf,665.6562914237347
data/img0399.png,inf,inf,inf,597.9147200437534
data/img0400.png,inf,inf,inf,572.3241685932895
data/img0401.png,inf,inf,inf,575.3049337142869
data/img0402.png,inf,inf,inf,561.0146230616454
data/img0403.png,inf,inf,inf,550.4506074926251
data/img0404.png,inf,inf,inf,521.9532546119432
data/img0405.png,inf,inf,inf,485.6098845781456
data/img0406.png,inf,inf,inf,453.984778208477
data/img0407.png,inf,inf,inf,430.51596950635866
data/img0408.png,inf,inf,inf,423.0920080656215
data/img0409.png,inf,inf,inf,451.3219685424143
data/img0410.png,inf,inf,inf,479.40685722671935
data/img0411.png,inf,inf,inf,481.62473542998185
data/img0412.png,inf,inf,inf,519.4303888770852
data/img0413.png,inf,inf,inf,585.3162615586551
data/img0414.png,inf,inf,inf,606.0938541183206
data/img0415.png,inf,inf,inf,inf
data/img0416.png,inf,inf,inf,inf
data/img0417.png,inf,inf,inf,inf
data/img0418.png,inf,inf,inf,inf
data/img0419.png,inf,inf,inf,inf
data/img0420.png,inf,inf,inf,inf
